Utm_E,Utm_N, Well Number,Aquifer System,Sampled Interval,Date,Year,Analysis by,Alkalinity Field,Alkalinity Lab,TDS,pH Field,pH Lab,Temp Field,Chloride,Fluoride,Hardness,Total Noncarbonate,Nitrate,Calcium Total,Calcium  Dissolved,Iron Total,Iron Dissolved,Magnesium Total,Magnesium  Dissolved,Manganese Total,Manganese Dissolved,Potassium Total,Potassium Dissolved,Silica Total ,Silica Dissolved,Sodium Total,Sodium Dissolved,,,
580966,3625807,20DD-q1,L/BM,TD 500,3/3/81,1981,SCWRC,,457,1110,8.3,,20,323,2.8,3.4,,,5.75,5.62,33,14,5.28,4.87,0,0,18.8,18.3,,36.4,346,328,,,
578545,3622646,20EE-e1,L/BM,152-560,,,D,,400,1700,8.1,,,620,,62,,,20,,600,,11,,,,,,,,,,,,
580100,3613759,20FF-d1,BM,Point Sample 495,7/23/80,1980,SCWRC,,,,,,,2700,3.5,,,,,,,,,,,,,,,,,,,,
583908,3607077,20FF-v1,BM,TD 592,12/27/74,1974,COM,,570,5070,,8.4,,2390,,250,,,40,,50,,36.5,,36.5,,,,12,,1778,,,,
572543,3656599,21AA-n2,BM,347-398,1/12/82,1982,SCWRC,370,,502,8.8,,20,37,1.2,,,,3.8,3.6,95,27,1.7,1.3,1.7,1.3,9.4,9.2,,43,214,198,,,
574588,3646883,21BB-m2,BM,515-525,9/19/78,1978,USGS,,690,1460,7.4,,27,370,2.1,36,,,,7.4,1400,70,,4.3,,4.3,,19,,29,,580,,,
570475,3626527,21DD-p2,L/BM,165-540,10/25/82,1982,SCWRC,328,,549,8.8,,18.5,75,,,,,4.6,2.7,45,42,1.1,1.1,1.1,1.1,11.1,10.9,,21.6,218,218,,,
572032,3627000,21DD-q1,C/BM,100-603,10/29/82,1982,SCWRC,110,,155,8.9,,17.5,7.5,0.4,,,,,,28,27,5.8,5.4,0,0,3,2.6,,34.2,15.2,13.9,,,
572371,3626972,21DD-q4,L/BM,169-561,10/29/82,1982,SCWRC,374,,703,8.7,,17,75,1.9,,,,2.8,2.8,50,41,1.5,1.4,0,0,12.6,12,,49,214,213,,,
571470,3621977,21EE-e2,L/BM,TD 600,12/20/82,1982,SCWRC,314,,535,,7.9,13,51,2.1,,,,36,33,535,360,10.2,9.3,10,5,11.5,10,,36.9,190,170,,,
570482,3621877,21EE-e3,L/BM,147-555,12/20/82,1982,SCWRC,372,,1028,,,17,299,3.4,,,,4,3.9,75,60,3.9,3.8,0,0,16.4,16,,33.1,505,490,,,
570586,3621878,21EE-e4,L/BM,155-581,12/20/82,1982,SCWRC,374,,1050,8.7,,20,313,3.4,,,,4.2,4.1,53,40,3.9,3.9,0,0,16.5,16,,44.3,500,481,,,
571129,3622436,21EE-e5,L/BM,147-620,12/20/82,1982,SCWRC,390,,1499,8.8,,15,509,2.8,,,,64,6,62,28,5.7,4.9,10,4,21.3,17.7,,50.7,772,650,,,
570378,3621784,21EE-e6,L/BM,129-525,12/20/82,1982,SCWRC,382,,837,9.1,,14,220,4.6,,,,,2.8,,40,,2.9,,10,,100,,39.6,,381,,,
575507,3621729,21EE-i1,L/BM,132-602,10/15/56,1956,COM,,435,1136,8.3,,,290,,4.5,,,,,,,,,,,,,,,,,,,
576922,3620478,21EE-j1,L/BM,160-601,12/20/82,1982,SCWRC,387,,1185,8.6,,12,370,3.4,,,,4.8,4.6,262,56,4.1,4,10,4,16,13.5,,45.6,546,540,,,
572722,3618044,21EE-q1,L/BM,192-561,6/13/79,1979,USGS,,430,1620,7.9,,21,570,3.2,42,,,,6.9,,90,,6.1,,6.9,,18,,41,,560,,,
575873,3668666,21Z-b1,L/BM,40-249,2/8/82,1982,SCWRC,206,,271,7.4,,17,12,0.24,144,,,46.5,45.2,37,25,6.76,6.45,6.76,6.45,9.16,8.96,,29.1,25.3,24.6,,,
577589,3661288,21Z-u1,L/BM,85-540,2/8/82,1982,SCWRC,672,,1040,8,,19,93,2.1,,46.9,,9.45,9.4,142,115,5.61,5.56,5.61,5.56,23.5,22.9,,44.3,360,340,,,
563887,3615304,22EE-y1,L/BM,220-630,10/27/82,1982,SCWRC,350,,872,8,,21,250,26,,,,4.9,4.1,41,30,3.3,2.7,0,0,15.1,14.6,,41.1,366,336,,,
563572,3615579,22EE-y2,L/BM,106-604,10/27/82,1982,SCWRC,400,,1050,7.6,,17,297,2.8,,,,5.5,4.8,380,310,4.4,4,0,0,19,17.2,,46.9,405,383,,,
563945,3614288,22FF-e1,L/BM,TD 604,3/10/81,1981,SCWRC,,416,953,8.4,,200,325,2.3,,,,5.2,5.2,310,60,4,4,0,,17.5,15.8,,,338,307,,,
570005,3612020,22FF-j1,L/BM,130-532,10/25/72,1972,USGS,,535,1940,,7.8,21.8,716,1.8,50,,0,6.4,,0,,8.2,,12,,22,,36,,700,,,,
565252,3605644,22FF-x1,L/BM,106-561,3/10/81,1981,SCWRC,,534,3203,,,17,1432,3.5,,,,18.9,18.9,260,100,23,22,0,,42.2,41.3,,41.7,600,582,,,
575759,3572909,22HH-e2,L/BM,TD 757,3/23/64,1964,USGS,,380,1080,,7.4,,401,1.8,70,,0.6,17,,1600,,6.8,,20,,17,,17,,378,,,,
556013,3630561,23DD-f2,L/BM,85-501,2/3/81,1981,SCWRC,,,,,,19,19.3,1.5,,,,,,,,,,,,,,,,,,,,
559703,3626672,23DD-s2,L/BM,TD 527,2/5/81,1981,SCWRC,,,626,8.55,,18.5,78.5,1.2,,,,,,,,,,,,,,,,,,,,
561161,3622216,23EE-a1,L/BM,TD 621,Feb-81,1981,SCWRC,,,,,,15,413,2.6,,,,,,,,,,,,,,,,,,,,
560975,3618673,23EE-k1,L/BM,TD 580,1/25/80,1980,SCWRC,,,769,8.1,,19.5,224,1.9,,,,,,,,,,,,,,,,,,,,
556808,3618833,23EE-n1,L/BM,120-560,2/3/81,1981,SCWRC,,,,,,22,34.1,1.6,,,,,,,,,,,,,,,,,,,,
560728,3616516,23EE-s1,L/BM,TD 550,5/31/74,1974,DHEC,,,896,8.25,,19.6,247.9,1.8,,,,,,,,,,,,,,,,,,,,
554767,3615927,23EE-y1,L/BM,84-540,1/25/80,1980,SCWRC,,,504,8.45,,10.5,69.4,1.85,,,,,,,,,,,,,,,,,,,,
561162,3609405,23FF-k1,L/BM,127-561,6/12/74,1974,SCWRC,,580,1327,8.2,,24.4,460,2.1,36,,,6.2,5.3,57,32,6.2,5.9,25,20,14.9,14.7,,21.2,560,540,,,
574826,3580618,23FF-u4,L/BM,TD 385,5/15/81,1981,SCWRC,538,,1502,8.1,,23,450,2,48,,,7.7,6.4,60,0,6.9,6.9,0,,20.4,20.2,,20,440,440,,,
552273,3678397,24Y-b1,BM,270-489,1/12/82,1982,SCWRC,192,,274,,,21,5.6,0.5,,,,22.7,7.5,107,24,3,1.4,0,0,8.2,6.9,,28.9,70,70,,,
551039,3676789,24Y-h1,BM,163-289,2/15/80,1980,SCWRC,240,,,7.7,,17.1,6,0.26,151,,,52,52,250,35,3.6,3.6,6,3,4.4,4.4,,16.5,23,72.9,,,
533112,3674094,26Y-n1,BM,330-370,1/12/82,1982,SCWRC,168,,196,7.9,,11.5,6.1,0.3,,,,23.6,19.9,496,250,5.3,4.7,0,0,12.3,11.5,,37.5,46,44,,,
